Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,136.089996,140.139999,135.009995,138.770004,1341500,137.027771
2016-02-29,135.149994,136.669998,134.139999,134.610001,1315900,132.919996
2016-02-26,137.75,142.600006,135.320007,135.380005,1642100,133.680333
2016-02-25,146.889999,146.889999,132.00,136.229996,3678000,134.519652
2016-02-24,155.800003,160.429993,152.00,159.899994,848200,157.892478
2016-02-23,160.330002,160.600006,154.800003,157.369995,802400,155.394242
2016-02-22,156.910004,162.539993,155.00,160.080002,945700,158.070226
2016-02-19,151.059998,155.270004,150.589996,153.940002,799600,152.007313
2016-02-18,157.00,157.649994,150.490005,152.270004,758500,150.358281
2016-02-17,152.00,156.690002,148.039993,155.960007,1122000,154.001956
2016-02-16,143.419998,153.00,143.419998,150.639999,1797800,148.748741
2016-02-12,140.449997,145.289993,137.289993,138.429993,1229100,136.692028
2016-02-11,134.039993,139.570007,132.50,136.850006,616600,135.131878
2016-02-10,137.929993,140.389999,137.509995,138.190002,621900,136.455051
2016-02-09,131.690002,139.00,129.600006,136.399994,1152800,134.687516
2016-02-08,136.710007,138.00,130.100006,133.130005,1260800,131.458581
2016-02-05,151.399994,151.399994,138.880005,139.470001,1172500,137.71898
2016-02-04,149.470001,152.779999,148.600006,150.690002,715300,148.798116
2016-02-03,154.940002,155.490005,146.160004,149.520004,1209800,147.642807
2016-02-02,155.00,156.850006,154.119995,154.729996,914200,152.787388
2016-02-01,155.850006,157.380005,153.529999,156.509995,820300,154.545039
2016-01-29,155.580002,157.559998,154.210007,156.139999,1187400,154.179689
2016-01-28,155.320007,156.660004,152.009995,153.75,1036900,151.819696
2016-01-27,152.729996,155.50,151.119995,154.039993,1005400,152.106048
2016-01-26,155.759995,155.970001,150.50,152.399994,1231500,150.486639
2016-01-25,154.00,160.889999,153.100006,158.479996,834400,156.490307
2016-01-22,162.220001,162.990005,151.149994,153.50,1670400,151.572834
2016-01-21,160.559998,161.449997,157.020004,159.160004,1120800,157.161778
2016-01-20,156.869995,161.410004,154.509995,160.320007,1020300,158.307218
2016-01-19,158.300003,164.880005,158.300003,161.649994,1384600,159.620507
2016-01-15,158.039993,160.979996,152.479996,154.990005,1001300,153.044133
